Q9L2	9L2_CV943
Q10L2	9L2_CV947
Q11L2	11L2_CV943
Q12L2	11L2_CV947
Q13L2	13L2_CV943
Q14L2	13L2_CV947
Q15L2	15L2_CV943
Q16L2	15L2_CV947
Q17L2	17L2_CV943
Q18L2	17L2_CV947
Q19L2	19L2_CV943
Q20L2	19L2_CV947
Q21L2	21L2_CV943
Q22L2	21L2_CV947
Q23L2	23L2_CV943
Q24L2	23L2_CV947
Q25L2	25L2_CV943
Q26L2	25L2_CV947
Q27L2	27L2_CV943
Q28L2	27L2_CV947
Q29L2	29L2_CV943
Q30L2	29L2_CV947
Q31L2	31L2_CV943
Q32L2	31L2_CV947
Q33L2	33L2_CV943
Q34R1	33L2_CV947
