Q9L7	9L7_CV943
Q10L7	9L7_CV947
Q11L7	11L7_CV943
Q12L7	11L7_CV947
Q13L7	13L7_CV943
Q14L7	13L7_CV947
Q15L7	15L7_CV943
Q16L7	15L7_CV947
Q17L7	17L7_CV943
Q18L7	17L7_CV947
Q19L7	19L7_CV943
Q20L7	19L7_CV947
Q21L7	21L7_CV943
Q22L7	21L7_CV947
Q23L7	23L7_CV943
Q24L7	23L7_CV947
Q25L7	25L7_CV943
Q26L7	25L7_CV947
Q27L7	27L7_CV943
Q28L7	27L7_CV947
Q29L7	29L7_CV943
Q30L7	29L7_CV947
Q31L7	31L7_CV943
Q32L7	31L7_CV947
Q33L7	33L7_CV943
Q34R6	33L7_CV947
