Q9R2	9R2_CV943
Q10R2	11R2_CV947
Q11R2	11R2_CV943
Q12R2	13R2_CV947
Q13R2	13R2_CV943
Q14R2	15R2_CV947
Q15R2	15R2_CV943
Q16R2	17R2_CV947
Q17R2	17R2_CV943
Q18R2	19R2_CV947
Q19R2	19R2_CV943
Q20R2	21R2_CV947
Q21R2	21R2_CV943
Q22R2	23R2_CV947
Q23R2	23R2_CV943
Q24R2	25R2_CV947
Q25R2	25R2_CV943
Q26R2	27R2_CV947
Q27R2	27R2_CV943
Q28R2	29R2_CV947
Q29R2	29R2_CV943
Q30R2	31R2_CV947
Q31R2	31R2_CV943
Q32R2	33R2_CV947
Q33R2	33R2_CV943
