Q9L5	9L5_CV943
Q10L5	9L5_CV947
Q11L5	11L5_CV943
Q12L5	11L5_CV947
Q13L5	13L5_CV943
Q14L5	13L5_CV947
Q15L5	15L5_CV943
Q16L5	15L5_CV947
Q17L5	17L5_CV943
Q18L5	17L5_CV947
Q19L5	19L5_CV943
Q20L5	19L5_CV947
Q21L5	21L5_CV943
Q22L5	21L5_CV947
Q23L5	23L5_CV943
Q24L5	23L5_CV947
Q25L5	25L5_CV943
Q26L5	25L5_CV947
Q27L5	27L5_CV943
Q28L5	27L5_CV947
Q29L5	29L5_CV943
Q30L5	29L5_CV947
Q31L5	31L5_CV943
Q32L5	31L5_CV947
Q33L5	33L5_CV943
Q34R4	33L5_CV947
