Q9R1	9R1_CV943
Q10R1	11R1_CV947
Q11R1	11R1_CV943
Q12R1	13R1_CV947
Q13R1	13R1_CV943
Q14R1	15R1_CV947
Q15R1	15R1_CV943
Q16R1	17R1_CV947
Q17R1	17R1_CV943
Q18R1	19R1_CV947
Q19R1	19R1_CV943
Q20R1	21R1_CV947
Q21R1	21R1_CV943
Q22R1	23R1_CV947
Q23R1	23R1_CV943
Q24R1	25R1_CV947
Q25R1	25R1_CV943
Q26R1	27R1_CV947
Q27R1	27R1_CV943
Q28R1	29R1_CV947
Q29R1	29R1_CV943
Q30R1	31R1_CV947
Q31R1	31R1_CV943
Q32R1	33R1_CV947
Q33R1	33R1_CV943
