Q9R3	9R3_CV943
Q10R3	11R3_CV947
Q11R3	11R3_CV943
Q12R3	13R3_CV947
Q13R3	13R3_CV943
Q14R3	15R3_CV947
Q15R3	15R3_CV943
Q16R3	17R3_CV947
Q17R3	17R3_CV943
Q18R3	19R3_CV947
Q19R3	19R3_CV943
Q20R3	21R3_CV947
Q21R3	21R3_CV943
Q22R3	23R3_CV947
Q23R3	23R3_CV943
Q24R3	25R3_CV947
Q25R3	25R3_CV943
Q26R3	27R3_CV947
Q27R3	27R3_CV943
Q28R3	29R3_CV947
Q29R3	29R3_CV943
Q30R3	31R3_CV947
Q31R3	31R3_CV943
Q32R3	33R3_CV947
Q33R3	33R3_CV943
