Q9R4	9R4_CV943
Q10R4	11R4_CV947
Q11R4	11R4_CV943
Q12R4	13R4_CV947
Q13R4	13R4_CV943
Q14R4	15R4_CV947
Q15R4	15R4_CV943
Q16R4	17R4_CV947
Q17R4	17R4_CV943
Q18R4	19R4_CV947
Q19R4	19R4_CV943
Q20R4	21R4_CV947
Q21R4	21R4_CV943
Q22R4	23R4_CV947
Q23R4	23R4_CV943
Q24R4	25R4_CV947
Q25R4	25R4_CV943
Q26R4	27R4_CV947
Q27R4	27R4_CV943
Q28R4	29R4_CV947
Q29R4	29R4_CV943
Q30R4	31R4_CV947
Q31R4	31R4_CV943
Q32R4	33R4_CV947
Q33R4	33R4_CV943
