Q9R6	9R6_CV943
Q10R6	11R6_CV947
Q11R6	11R6_CV943
Q12R6	13R6_CV947
Q13R6	13R6_CV943
Q14R6	15R6_CV947
Q15R6	15R6_CV943
Q16R6	17R6_CV947
Q17R6	17R6_CV943
Q18R6	19R6_CV947
Q19R6	19R6_CV943
Q20R6	21R6_CV947
Q21R6	21R6_CV943
Q22R6	23R6_CV947
Q23R6	23R6_CV943
Q24R6	25R6_CV947
Q25R6	25R6_CV943
Q26R6	27R6_CV947
Q27R6	27R6_CV943
Q28R6	29R6_CV947
Q29R6	29R6_CV943
Q30R6	31R6_CV947
Q31R6	31R6_CV943
Q32R6	33R6_CV947
Q33R6	33R6_CV943
