Q9R7	9R7_CV943
Q10R7	11R7_CV947
Q11R7	11R7_CV943
Q12R7	13R7_CV947
Q13R7	13R7_CV943
Q14R7	15R7_CV947
Q15R7	15R7_CV943
Q16R7	17R7_CV947
Q17R7	17R7_CV943
Q18R7	19R7_CV947
Q19R7	19R7_CV943
Q20R7	21R7_CV947
Q21R7	21R7_CV943
Q22R7	23R7_CV947
Q23R7	23R7_CV943
Q24R7	25R7_CV947
Q25R7	25R7_CV943
Q26R7	27R7_CV947
Q27R7	27R7_CV943
Q28R7	29R7_CV947
Q29R7	29R7_CV943
Q30R7	31R7_CV947
Q31R7	31R7_CV943
Q32R7	33R7_CV947
Q33R7	33R7_CV943
