Q9L3	9L3_CV943
Q10L3	9L3_CV947
Q11L3	11L3_CV943
Q12L3	11L3_CV947
Q13L3	13L3_CV943
Q14L3	13L3_CV947
Q15L3	15L3_CV943
Q16L3	15L3_CV947
Q17L3	17L3_CV943
Q18L3	17L3_CV947
Q19L3	19L3_CV943
Q20L3	19L3_CV947
Q21L3	21L3_CV943
Q22L3	21L3_CV947
Q23L3	23L3_CV943
Q24L3	23L3_CV947
Q25L3	25L3_CV943
Q26L3	25L3_CV947
Q27L3	27L3_CV943
Q28L3	27L3_CV947
Q29L3	29L3_CV943
Q30L3	29L3_CV947
Q31L3	31L3_CV943
Q32L3	31L3_CV947
Q33L3	33L3_CV943
Q34R2	33L3_CV947
