Q9L6	9L6_CV943
Q10L6	9L6_CV947
Q11L6	11L6_CV943
Q12L6	11L6_CV947
Q13L6	13L6_CV943
Q14L6	13L6_CV947
Q15L6	15L6_CV943
Q16L6	15L6_CV947
Q17L6	17L6_CV943
Q18L6	17L6_CV947
Q19L6	19L6_CV943
Q20L6	19L6_CV947
Q21L6	21L6_CV943
Q22L6	21L6_CV947
Q23L6	23L6_CV943
Q24L6	23L6_CV947
Q25L6	25L6_CV943
Q26L6	25L6_CV947
Q27L6	27L6_CV943
Q28L6	27L6_CV947
Q29L6	29L6_CV943
Q30L6	29L6_CV947
Q31L6	31L6_CV943
Q32L6	31L6_CV947
Q33L6	33L6_CV943
Q34R5	33L6_CV947
