Q9L1	9L1_CV943
Q10L1	9L1_CV947
Q11L1	11L1_CV943
Q12L1	11L1_CV947
Q13L1	13L1_CV943
Q14L1	13L1_CV947
Q15L1	15L1_CV943
Q16L1	15L1_CV947
Q17L1	17L1_CV943
Q18L1	17L1_CV947
Q19L1	19L1_CV943
Q20L1	19L1_CV947
Q21L1	21L1_CV943
Q22L1	21L1_CV947
Q23L1	23L1_CV943
Q24L1	23L1_CV947
Q25L1	25L1_CV943
Q26L1	25L1_CV947
Q27L1	27L1_CV943
Q28L1	27L1_CV947
Q29L1	29L1_CV943
Q30L1	29L1_CV947
Q31L1	31L1_CV943
Q32L1	31L1_CV947
Q33L1	33L1_CV943
Q34R8	33L1_CV947
