Q9R5	9R5_CV943
Q10R5	11R5_CV947
Q11R5	11R5_CV943
Q12R5	13R5_CV947
Q13R5	13R5_CV943
Q14R5	15R5_CV947
Q15R5	15R5_CV943
Q16R5	17R5_CV947
Q17R5	17R5_CV943
Q18R5	19R5_CV947
Q19R5	19R5_CV943
Q20R5	21R5_CV947
Q21R5	21R5_CV943
Q22R5	23R5_CV947
Q23R5	23R5_CV943
Q24R5	25R5_CV947
Q25R5	25R5_CV943
Q26R5	27R5_CV947
Q27R5	27R5_CV943
Q28R5	29R5_CV947
Q29R5	29R5_CV943
Q30R5	31R5_CV947
Q31R5	31R5_CV943
Q32R5	33R5_CV947
Q33R5	33R5_CV943
