Q9L4	9L4_CV943
Q10L4	9L4_CV947
Q11L4	11L4_CV943
Q12L4	11L4_CV947
Q13L4	13L4_CV943
Q14L4	13L4_CV947
Q15L4	15L4_CV943
Q16L4	15L4_CV947
Q17L4	17L4_CV943
Q18L4	17L4_CV947
Q19L4	19L4_CV943
Q20L4	19L4_CV947
Q21L4	21L4_CV943
Q22L4	21L4_CV947
Q23L4	23L4_CV943
Q24L4	23L4_CV947
Q25L4	25L4_CV943
Q26L4	25L4_CV947
Q27L4	27L4_CV943
Q28L4	27L4_CV947
Q29L4	29L4_CV943
Q30L4	29L4_CV947
Q31L4	31L4_CV943
Q32L4	31L4_CV947
Q33L4	33L4_CV943
Q34R3	33L4_CV947
